,fluxes
EX_f6p_e,0.0
EX_lac__D_e,0.0
EX_ttdcea_e,0.0
EX_h2s_e,0.0
EX_gthrd_e,0.0
EX_met__D_e,-0.0
EX_tartr__L_e,0.0
EX_taur_e,0.0
EX_maltpt_e,0.0
EX_glcur_e,0.0
EX_mmet_e,0.0
DM_amob_c,1.0750998321747794e-06
EX_mg2_e,0.0
G5SADs,0.11882809670069795
H2SO,0.0
EX_acac_e,0.0
EX_adn_e,0.0
EX_ins_e,0.0
EX_glyc3p_e,0.0
EX_lcts_e,0.0
EX_nac_e,0.0
EX_ocdca_e,0.0
FTHFLi,0.9532543980284152
EX_dad_2_e,0.0
EX_ser__D_e,0.0
EX_gam6p_e,0.0
EX_15dap_e,-0.0
EX_ocdcea_e,0.0
EX_cynt_e,0.0
EX_galctn__D_e,0.0
EX_glyb_e,-0.0
NMNt7pp,0.0
GLUtex,1000.0
GLYtex,0.0
GLYALDtex,0.0
GLYBtex,0.0
GLYCtex,1000.0
GLYC3Ptex,0.0
GLYCLTtex,999.9996403791062
GTPtex,0.0
GUAtex,0.0
Htex,0.0
H2tex,0.0
H2Otex,969.2530067806944
O2tpp,1000.0
PYRt2rpp,1000.0
XANtpp,0.0
DAPtex,0.0
12PPDStex,0.0
DDGLCNtex,0.0
26DAHtex,0.0
HCINNMtex,0.0
HPPPNtex,0.0
ACtex,989.2813148459808
ACALDtex,0.0
ACMANAtex,0.0
ACMUMtex,0.0
SUCCt2_2pp,0.0
SUCFUMtpp,1000.0
TARTRt7pp,0.0
THMDt2pp_copy1,0.0
EX_ca2_e,0.0
EX_so3_e,-0.0
Kt2pp,0.10492598077084588
AKGt2rpp,0.0
XYLt2pp,0.0
EX_ascb__L_e,0.0
EX_ala_B_e,0.0
EX_agm_e,0.0
EX_minohp_e,0.0
EX_ppt_e,0.0
EX_hxa_e,0.0
EX_lyx__L_e,0.0
EX_acmum_e,0.0
EX_dca_e,0.0
EX_all__D_e,0.0
EX_octa_e,0.0
EX_xylu__L_e,0.0
EX_gdp_e,-0.0
EX_gtp_e,-0.0
THRabcpp,0.0
TRPt2rpp,1000.0
TYRt2rpp,0.0
URIt2pp_copy1,0.0
VALabcpp,0.0
XTSNt2rpp,0.0
XYLUt2pp,0.0
THRt4pp,0.0
EX_fruur_e,0.0
GALtex,0.0
GALCTtex,0.0
GALCTNtex,0.0
GALTtex,0.0
GALURtex,0.0
ACACt2pp,0.0
ACNAMt2pp,0.0
EX_ch4_e,-0.0
GAMtex,0.0
GBBTNtex,0.0
ARBt2rpp,1000.0
DAPabcpp,0.0
CO2tpp,0.0
DHAtpp,0.0
ARGAGMt7pp,0.0
ASNt2rpp,1000.0
ASPt2pp,0.0
ASPt2_2pp,0.0
ASPt2_3pp,0.0
HIStex,1000.0
HXAtex,0.0
HYXNtex,0.0
IDONtex,0.0
ILEtex,1000.0
INSTtex,0.0
INStex,0.0
Ktex,0.10492598077084588
D_LACtex,0.0
FRULYStex,0.0
EX_fad_e,0.0
GALCTt2rpp,0.0
GALt2pp,0.0
ASPtex,0.0
ABUTt2pp,0.0
ACALDtpp,0.0
ACt2rpp,0.0
EX_fe3dcit_e,0.0
EX_fe3hox_e,-0.0
EX_fecrm_e,-0.0
EX_feenter_e,-0.0
EX_feoxam_e,-0.0
EX_cbi_e,-0.0
EX_arbtn_fe3_e,-0.0
EX_cpgn_e,-0.0
EX_adocbl_e,-0.0
INDOLEtex,0.0
L_LACtex,0.0
ACt4pp,0.0
ADEt2rpp,1000.0
ADNt2pp_copy1,1000.0
ALAabcpp,0.0
ALLTNt2rpp,1000.0
GUAtpp,1000.0
HYXNtpp,1000.0
NACtpp,0.0
CPGNtonex,0.0
GLCRtex,0.0
GLCNtex,0.0
GLCURtex,1000.0
GLNtex,0.0
O2tex,15.377928239094103
EX_ppa_e,-0.0
OCTAtex,0.0
ORNtex,0.0
CITt7pp,0.0
CRNt7pp,0.0
EX_ni2_e,0.0
EX_no_e,0.0
DGSNt2pp,0.0
DINSt2pp,0.0
DURIt2pp,0.0
FE2abcpp,0.0
FUCtpp,0.0
FUMt2_2pp,0.0
FUMt2_3pp,0.0
FEENTERtonex,0.0
CSNt2pp,0.0
CYNTt2pp,0.0
CYTDt2pp_copy1,1000.0
DADNt2pp,0.0
DCYTt2pp,0.0
DDGLCNt2rpp,0.0
RMNtex,0.0
EX_meoh_e,1.0750998321747794e-06
MALTTRtexi,0.0
MALTTTRtexi,0.0
MALTPTtexi,0.0
MALTtexi,0.0
GLCtex_copy1,1000.0
FE3DCITtonex,0.0
PHEtex,0.0
PItex,1000.0
EX_cu2_e,0.0
CYSabc2pp,0.0
EX_pheme_e,-0.0
PNTOtex,0.0
PPPNtex,0.0
PPTtex,0.0
PTRCtex,1000.0
PYRtex,0.0
DSERtex,0.0
SERtex,0.0
SO4tex,0.13536581987020951
SPMDtex,0.0
SUCCtex,0.0
SUCRtex,0.0
TARTRtex,0.0
TAURtex,0.0
THRtex,0.0
THMDtex,0.0
METDtex,0.0
METtex,0.0
MNLtex,0.0
NAtex,0.0
NACtex,1000.0
NH4tex,5.80549340201128
BUTtex,0.0
CHLtex,0.0
CO2tex,0.0
CRNtex,0.0
DINStex,0.0
DMStex,0.0
CSNtex,0.0
CYNTtex,0.0
CYStex,0.0
CYTDtex,1000.0
DCAtex,0.0
DCYTtex,0.0
DGSNtex,1000.0
LCTStex,0.0
LEUtex,1000.0
LYStex,0.0
LYXtex,0.0
MANtex,0.0
MAN6Ptex,0.0
MELIBtex,0.0
DMSOtex,0.0
DURItex,0.0
EX_mal__D_e,0.0
FRUtex,0.0
FUCtex,0.0
FUMtex,1000.0
FE2tex,0.11637387029252319
NMNtex,0.0
NO2tex,1000.0
BUTt2rpp,1000.0
CADVtpp,0.0
GDPtex,0.0
EX_cobalt2_e,0.0
TMAtex,0.0
TMAOtex,0.0
TREtex,0.0
TRPtex,0.0
TSULtex,0.0
TYRtex,1000.0
URAtex,0.0
UREAtex,0.0
URItex,0.0
VALtex,0.0
XANtex,0.0
XYLtex,0.0
ABUTtex,0.0
FORtppi,4.4996045919985415
DATPHs,0.0
EX_mso3_e,0.0
EX_23camp_e,0.0
EX_23cgmp_e,0.0
EX_23cump_e,0.0
EX_3amp_e,0.0
EX_3gmp_e,0.0
EX_3ump_e,0.0
EX_glyc__R_e,0.0
EX_eca4colipa_e,-0.0
EX_sel_e,0.0
EX_hg2_e,-0.0
O16GLCT1,0.0
DHBSH,0.0
ENTERES,0.0
FEOXAMUtex,0.0
ARBTNtpp,0.0
ARBTNtex,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CUMPtex,0.0
23CGMPtex,0.0
3AMPtex,0.0
3CMPtex,0.0
LADGMDH,0.0
FEENTERtpp,0.0
FEENTERtex,0.0
FE3HOXUtpp,0.0
FEOXAMUtpp,0.0
FECRMUtpp,0.0
FE3HOXR2,0.0
PTRCt2pp,0.0
ETHSO3tex,0.0
BUTSO3tex,0.0
LIPOtex,0.0
METSOX1abcpp,0.0
GALBDtex,0.0
FE3HOXR3,0.0
FEENTERR1,0.0
FEENTERR3,0.0
SULFACtex,0.0
EX_sulfac_e,0.0
EX_butso3_e,0.0
EX_ethso3_e,0.0
NOtex,0.0
NOtpp,1000.0
N2Otpp,0.0
N2Otex,0.0
CRNt8pp,0.0
CRNt2rpp,0.0
CRNDt2rpp,0.0
CTBTt2rpp,0.0
PACALDt2rpp,0.0
PEAMNtex,0.0
PACALDtex,0.0
LIPOt2pp,0.0
INOSTt4pp,0.0
PHEMEtiex,0.0
CYANtex,0.0
SO3tex,0.0
TCYNTtex,0.0
METSOX2abcpp,0.0
METSOX1tex,0.0
METSOX2tex,0.0
3UMPtex,0.0
3GMPtex,0.0
FALDtpp,1000.0
EX_tym_e,0.0
EX_imp_e,0.0
DOPAtex,0.0
4HOXPACDtex,0.0
ETHAtex,0.0
G3PStex,0.0
FEENTERR2,0.0
FE3HOXR1,0.0
FEENTERexs,0.0
FE3HOXexs,0.0
FECRMR3,0.0
ACGAL1Ptex,0.0
ACGALtex,0.0
GLCUR1Ptex,0.0
UDPGLCURtex,0.0
ISETACtex,0.0
GUR1PPpp,0.0
UDPGtex,0.0
ACGAL1PPpp,0.0
UDPGALtex,0.0
ACGAM1Ptex,1000.0
UACGAMtex,0.0
UDPACGALtex,0.0
MSO3tex,0.0
FECRMR1,0.0
FECRMR2,0.0
3PEPTabcpp,0.0
4PEPTabcpp,0.0
AGM3Pt2pp,0.0
AGM4Pt2pp,0.0
AGMt2pp,0.0
FECRMexs,0.0
ARBTNR1,0.0
ARBTNR2,0.0
ARBTNR3,0.0
ARBTNexs,0.0
FEOXAMexs,0.0
FEOXAMR1,0.0
FEOXAMR2,0.0
FEOXAMR3,0.0
AGt3,0.0
CD2t3pp,0.0
SKMt2pp,0.0
FE2t2pp,0.0
GLYC2Ptex,0.0
PSERtex,0.0
R5Ptex,0.0
THRPtex,0.0
TYRPtex,0.0
GRXR,0.10739257225006615
CPGNR1,0.0
CPGNR2,0.0
CPGNR3,0.0
CPGNUtpp,0.0
CPGNUtex,0.0
CPGNexs,0.0
CITtex,0.0
ACGAtex,0.0
DDCAtexi,0.0
TTDCAtexi,0.0
HDCAtexi,0.0
GUACYC,0.0
ATPHs,0.0
GTPHs,0.0
EX_cd2_e,-0.0
IDONt2rpp,0.0
ILEabcpp,0.0
INDOLEt2pp,0.0
INSt2pp,0.0
LYXt2pp,0.0
OCDCAtexi,0.0
OCDCEAtexi,0.0
G6Ptex,0.0
MOBDtex,3.7628494126117288e-06
NI2tex,0.0001736286228962269
R1PK,0.5013572177887629
LEUabcpp,0.0
L_LACt2rpp,0.0
MALt2_2pp,0.0
MALt2_3pp,0.0
MAN6Pt6_2pp,0.0
MELIBt2pp,0.0
EX_fe3hox_un_e,0.0
EX_23dappa_e,0.0
RMNtpp,0.0
SERt4pp,0.0
SUCCt2_3pp,0.0
NAt3_1p5pp,0.0
NAt3_2pp,0.0
NH4tpp,1000.0
NMNPtpp,0.0
NO2t2rpp,0.0
NO3t7pp,0.0
PNTOt4pp,0.0
PROt2rpp,0.0
PROt4pp,1000.0
FECRMtonex,0.0
ARBTNtonex,0.0
EX_enter_e,0.0
EX_fecrm_un_e,0.0
EX_cgly_e,0.0
EX_chtbs_e,-0.0
EX_gmp_e,0.0
EX_h2o2_e,-0.0
EX_ump_e,0.0
EX_pydam_e,0.0
H2O2tex,0.0
ADEtex,0.0
ADNtex,0.0
AGMtex,0.0
ALAtex,0.0
BALAtex,0.0
DALAtex,1000.0
AMPtex,0.0
ARBtex,0.0
ARGtex,0.0
ASCBtex,0.0
FE3HOXtonex,0.0
MMETtex,0.0
FE3tex,0.0
MG2tex,0.004663245522058107
Zn2tex,0.00018330452138579992
MMETt2pp,0.0
CD2tex,0.0
GLUABUTt7pp,1000.0
GLUt2rpp,1000.0
GLUt4pp,0.0
GLYALDtpp,0.0
EX_etha_e,0.0
LCTSt3ipp,0.0
ARBt3ipp,0.0
14GLUCANtexi,0.0
NADPHQR2,0.0
NADPHQR3,0.0
NADPHQR4,0.0
ASO3tex,0.0
MANGLYCtex,0.0
EX_frulys_e,0.0
METOX1s,0.0
METOX2s,0.0
FRUURt2rpp,1000.0
FRUURtex,0.0
ECAtpp,0.0
O16GLCT2,0.0
O16AUNDtpp,0.0
GLYCAt2rpp,1000.0
GLYCAtex,0.0
EX_enlipa_e,-0.0
EX_hacolipa_e,-0.0
GLYC3Pt6pp,8.366994697830877e-09
GLYCLTt4pp,0.002797947313234864
GLYCtpp,0.0
H2Otpp,969.3068769128724
HCINNMt2rpp,0.0
HISt2rpp,1000.0
COBALT2tex,1.3438747902184746e-05
FALGTHLs,0.0
DIMPtex,0.0
GALURt2rpp,0.0
GLCNt2rpp,0.0
GLCRt2rpp,1000.0
GLCt2pp,0.0
GLCURt2rpp,0.0
EX_h2o_e,30.746993219305637
EX_ala__D_e,0.0
XTSNtex,0.0
EX_hdca_e,0.0
EX_glcr_e,0.0
HYPOE,0.0
UREAtpp,0.0
XANt2pp,0.0
PPPNt2rpp,0.0
PTRCORNt7pp,1000.0
HG2tex,0.0
ATPM,6.86
NADPPPS,0.0
EX_mnl_e,0.0
DADNtex,0.0
DHAtex,0.0
ETOHtex,1000.0
EX_asn__L_e,0.0
EX_mal__L_e,0.0
NMNN,0.0
EX_no2_e,0.0
ACACtex,0.0
ACNAMtex,0.0
ASO3t8pp,0.0
H2Stex,1000.0
OMCDC,0.2421829012447678
EX_nh4_e,0.0
EX_ddca_e,0.0
FORt2pp,0.0
EX_r5p_e,0.0
EX_glyc2p_e,0.0
EX_malt_e,0.0
4PEPTtex,0.0
EX_pnto__R_e,0.0
GLYCLTt2rpp,999.996842431793
GUAt2pp,0.0
HPPPNt2rpp,0.0
EX_cit_e,0.0
EX_gam_e,0.0
EX_inost_e,0.0
EX_mobd_e,999.9999962371506
EX_so4_e,0.0
EX_phe__L_e,0.0
EX_thr__L_e,0.0
EX_uri_e,0.0
H2St1pp,0.0
EX_halipa_e,-0.0
EX_cmp_e,0.0
EX_malthx_e,0.0
EX_csn_e,0.0
EX_etoh_e,0.0
EX_his__L_e,0.0
EX_k_e,0.0
EX_na1_e,-0.0
ARGORNt7pp,0.0
EX_dmso_e,-0.0
EX_12ppd__S_e,0.0
EX_pppn_e,0.0
EX_acgam1p_e,0.0
EX_galt_e,0.0
CU2tex,1000.0
FECRMUtex,0.0
CLtex,0.002797947313234864
EX_glcur1p_e,0.0
EX_thrp_e,0.0
EX_pydxn_e,0.0
Kt3pp,0.0
EX_cys__L_e,0.0
EX_gsn_e,0.0
EX_orot_e,0.0
G6Pt6_2pp,0.0
PROtex,0.0
SBTtex,0.0
AKGtex,0.0
ALLTNtex,0.0
ASNtex,0.0
EX_o2_e,0.0
EX_gal_bD_e,0.0
EX_dump_e,0.0
EX_o2s_e,0.0
EX_gal1p_e,0.0
EX_dcmp_e,0.0
EX_23ccmp_e,0.0
EX_3cmp_e,0.0
EX_skm_e,0.0
EX_ag_e,-0.0
EX_cys__D_e,0.0
EX_acser_e,-0.0
EX_cu_e,-0.0
EX_arbtn_e,0.0
EX_dopa_e,-0.0
EX_hom__L_e,-0.0
THRt2pp,0.0
EX_LalaDgluMdapDala_e,0.0
EX_LalaDgluMdap_e,0.0
EX_anhgm_e,0.0
EX_fald_e,0.0
TYMtex,1000.0
EX_g3pe_e,0.0
EX_pacald_e,0.0
CMPtex,0.0
DUMPtex,0.0
XMPtex,0.0
3PEPTtex,0.0
ANHGMtex,0.0
ULA4Ntppi,0.0
FALDtex,0.0
CYSDtex,0.0
CYSDabcpp,0.0
EX_acgal_e,-0.0
EX_so2_e,-0.0
EX_dms_e,-0.0
G3PItex,0.0
G3PGtex,0.0
G3PEtex,0.0
G3PCtex,0.0
EX_acgal1p_e,-0.0
EX_cyan_e,0.0
EX_tyrp_e,0.0
EX_uacgam_e,0.0
EX_udpacgal_e,0.0
EX_udpg_e,0.0
EX_udpgal_e,0.0
EX_udpglcur_e,0.0
EX_14glucan_e,0.0
EX_pser__L_e,0.0
EX_aso3_e,-0.0
EX_tcynt_e,-0.0
EX_fe3dhbzs_e,-0.0
EX_feoxam_un_e,0.0
EX_g3pc_e,0.0
EX_g3pg_e,0.0
EX_g3pi_e,0.0
EX_g3ps_e,0.0
EX_peamn_e,0.0
EX_34dhpac_e,-0.0
DAMPtex,0.0
DCMPtex,1000.0
DGMPtex,0.0
DTMPtex,0.0
GMPtex,0.0
IMPtex,0.0
UMPtex,0.0
G1Ptex,0.0
CUt3,0.0
ZN2t3pp,0.0
SKMtex,0.0
MNt2pp,0.0
MNtex,0.00037144699201638635
GAL1Ptex,0.0
O2Stex,0.0
EX_xmp_e,0.0
EX_damp_e,0.0
EX_dimp_e,0.0
EX_isetac_e,0.0
HOMt2pp,0.0
HOMtex,0.0
SO2tex,0.0
SO2tpp,0.0
CYStpp,0.0
ACSERtpp,0.0
ACSERtex,0.0
LALDO3,0.0
2AGPE120tipp,0.0
2AGPA120tipp,0.0
2AGPG180tipp,0.0
ALAALAtex,1000.0
MALtex,0.0
NO3tex,0.0
URAt2pp,0.0
TTDCEAtexi,0.0
HDCEAtexi,0.0
ALAALAabcpp,0.0
HEXt2rpp,0.0
PROGLYabcpp,0.0
2AGPG140tipp,0.0
2AGPG160tipp,0.0
2AGPG141tipp,0.0
2AGPG161tipp,0.0
2AGPG181tipp,0.0
12DGR141tipp,8.366994697830877e-09
CLPNH141pp,0.0
CLPNH160pp,0.0
CLPNH161pp,0.0
CLPNH181pp,0.0
FE3HOXUtex,0.0
ACGAM1PPpp,0.0
EX_dgmp_e,0.0
GSNt2pp,0.0
EX_4hoxpacd_e,-0.0
GSNtex,0.0
FORtex,1000.0
D_LACt2pp,1000.0
RIBtex,1000.0
THMtex,0.0
XYLUtex,0.0
EX_manglyc_e,0.0
ALLtex,0.0
EX_metsox_R__L_e,0.0
34dhpactex,0.0
MALTHXtexi,0.0
12PPDStpp,1000.0
EX_cl_e,0.0
FE3DHBZStonex,0.0
AACTOOR,0.0
H2tpp,0.0
23DAPPAtex,0.0
FEOXAMtonex,0.0
EX_3hpppn_e,0.0
EX_man6p_e,0.0
EX_tsul_e,-0.0
PHEt2rpp,1000.0
EX_n2o_e,-0.0
EX_maltttr_e,0.0
OXAMTC,0.0
UDCPPtppi,0.0
MELIBt3ipp,0.0
EX_lipoate_e,-0.0
EX_pydx_e,0.0
EX_g1p_e,0.0
NAt3pp,1000.0
DHORDfum,0.0
DSBGGT,0.0
DM_oxam_c,-0.0
PDX5PO2,0.00011987363128748794
HG2t3pp,0.0
EX_alaala_e,0.0
EX_dtmp_e,0.0
DM_5drib_c,0.0001209487311196627
MINOHPtexi,0.0
12PPDRtpp,0.0
SO4t2pp,0.13536581987020951
GAM6Pt6_2pp,0.0
PPALtex,0.0
CA2tex,0.002797947313234864
CUtex,0.0
CU1Opp,0.0
12PPDRtex,0.0
F6Ptex,0.0
GAMAN6Ptex,1000.0
ACONIs,0.0
F6Pt6_2pp,0.0
PPALtpp,0.0
PROGLYtex,0.0
EX_progly_e,0.0
12DGR140tipp,0.0
12DGR160tipp,0.0
12DGR180tipp,0.0
CLPNH120pp,0.0
CLPNH140pp,0.0
EX_12ppd__R_e,-0.0
12DGR120tipp,0.0
CGLYtex,1000.0
2AGPE181tipp,0.0
2AGPA140tipp,0.0
2AGPA160tipp,0.0
2AGPA180tipp,0.0
2AGPA141tipp,-1.6733989395661755e-08
EX_urate_e,0.0
2AGPE140tipp,0.0
2AGPE160tipp,0.0
2AGPE180tipp,0.0
2AGPE141tipp,0.0
2AGPE161tipp,0.0
2AGPA161tipp,0.0
2AGPA181tipp,0.0
2AGPG120tipp,0.0
GTHOXtex,0.0
DSBAO1,0.0
DSBAO2,0.0
CGLYabcpp,0.0
CLPNH180pp,0.0
12DGR161tipp,0.0
12DGR181tipp,0.0
EX_cpgn_un_e,-0.0
GTHRDtex,0.0
GTHRDabc2pp,0.0
OMMBLHX3,0.0
EX_tartr__D_e,0.0
GLYBt2pp,0.0
DSERt2pp,0.0
ALAt4pp,0.0
LYSt3pp,0.0
EX_tungs_e,-0.0
EX_crn__D_e,-0.0
OPHHX3,0.0
CHLt2pp,0.0
GLYt4pp,0.0
FRULYSt2pp,0.0
EX_psclys_e,0.0
TUNGStex,0.0
COBALT2tpp,1.3438747902184746e-05
DM_aacald_c,-0.0
ZN2tpp,0.00018330452138579992
NI2tpp,0.0001736286228962269
COBALT2t3pp,0.0
23DAPPAt2pp,0.0
CAt6pp,0.0
5DGLCNt2rpp,0.0
GALCTNt2pp,0.0
GALCTNLtex,0.0
EX_galctn__L_e,0.0
CA2t3pp,0.0
ARGt3pp,0.0
MALDtex,0.0
OROTtex,0.0
PPAt4pp,0.0
OROTt2_2pp,0.0
MALDt2_2pp,0.0
5DGLCNtex,0.0
EX_5dglcn_e,0.0
PSCLYSt2pp,0.0
LYSt2pp,0.0
GLYt2pp,0.0
ALAt2pp,0.0
BALAt2pp,0.0
DALAt2pp,0.007468718534118194
FE2tpp,0.008633589202279565
MN2tpp,0.00037144699201638635
MG2tpp,0.0
NI2t3pp,0.0
PPAtex,0.0
GALCTNLt2pp,0.0
THYMt3pp,0.0
PSCLYStex,0.0
THYMtex,0.0
CU2tpp,0.00038112289050595935
FE2t3pp,0.0
MN2t3pp,0.0
MG2t3_2pp,0.004663245522058107
CD2tpp,0.0
ETHAt2pp,0.0
FE3abcpp,0.0
CLt3_2pp,0.001398973656617432
EX_ppal_e,0.0
MTHTHFSs,0.0
SELGTHR,0.0
SELGTHR3,0.0
EX_slnt_e,0.0
CMtpp,0.0
FUSAtpp,0.0
RFAMPtex,0.0
MINCYCtex,0.0
MINCYCtpp,0.0
DOXRBCNtex,0.0
DOXRBCNtpp,0.0
ETOHtrpp,1000.0
I4FE4SR,0.00013976297818272133
S2FE2ST,0.0
NOVBCNtpp,0.0
CMtex,0.0
LALALGLUtex,0.0
LALADGLUtpp,0.0
I2FE2ST,1.5051397650446913e-05
I4FE4ST,0.00013976297818272133
S4FE4ST,0.0
5MTRtex,0.0
LALADGLUtex,0.0
LALALGLUtpp,0.0
3HPPtex,0.0
EX_LalaDglu_e,0.0
CBMD,0.0
EX_LalaLglu_e,0.0
EX_ttrcyc_e,0.0
EX_mincyc_e,-0.0
DM_4crsol_c,0.00011987363128748794
FESD1s,0.0020985948724051694
EX_doxrbcn_e,0.0
EX_fusa_e,-0.0
EX_cm_e,-0.0
EX_novbcn_e,-0.0
FUSAtex,0.0
NOVBCNtex,0.0
EX_rfamp_e,-0.0
QUIN2tex,0.0
EX_quin_e,0.0
DHPTDCs2,0.0
EX_3hpp_e,-0.0
DM_mththf_c,-0.0
FESD2s,0.0
MEOHtrpp,0.0
S4FE4SR,0.0
SELtex,0.0
MEOHtex,0.0
EX_5mtr_e,-0.0
CDGS,0.0
5MTRtpp,0.0
TTRCYCtex,0.0
TTRCYCtpp,0.0
FESR,0.004197189744810339
SLNTtex,0.0
SELGTHR2,0.0
3HPPtpp,0.0
RFAMPtpp,0.0
CH4tex,0.0
TARTRDtex,0.0
BTNt2ipp,0.0
BTNtex,0.0
ARBTtex,0.0
EX_arbt_e,-0.0
DMSOtpp,0.0
PYDXtex,0.0
PYDXtpp,0.0
SUCASPtpp,1000.0
SUCMALtpp,0.0
PYDXNtex,0.0
PYDXNtpp,0.0
PYDAMtex,0.0
PYDAMtpp,0.0
TARTt2_3pp,0.0
SUCTARTtpp,0.0
CHTBStex,0.0
TRPtipp,0.0
TYRtipp,0.0
ThDPAT,0.0
SPMDt3pp,0.0
PHEtipp,0.0
MALt3pp,0.0
CITt3pp,0.0
QUIN2tpp,0.0
CRNDtex,0.0
ALAtpp,0.0
DXYLONtpp,0.0
23DOGULNt4pp,0.0
FE3DCITexs,0.0
FEENTERES,0.0
DXYLONtex,0.0
PSURItex,0.0
CHLt3pp,0.0
GLYBt3pp,0.0
AI2tpp,0.0
Ftpp,0.0
DHPStr,0.0
SQtr,0.0
DHPStex,0.0
FMNtex,1000.0
EX_dxylnt_e,0.0
CLBtex,0.0
EX_mththf_e,0.0
CHOLATEtpp,0.0
4ABZGLUtr,0.0
CYSItpp,0.0
PIt2rpp,0.5185238910946426
LEUt2rpp,0.0
LCTStpp,0.0
ILEt3pp,0.0
METt3pp,0.0
GSNt3pp,0.0
CLtipp,0.0
PItpp,0.0
LEUt3pp,0.0
INSt3pp,0.0
INDOLEt2rpp,0.0
ILEt2rpp,0.0
GLYtpp,1000.0
FADt,0.0
FADtex,1000.0
4HBZt3pp,0.0
2DGLCtex,0.0
SQtex,0.0
EX_dhps_e,-0.0
MOX,0.0
URATEtex,0.0
EX_cs1_e,0.0
CBL1tonex,0.0
CBItonex,0.0
EX_mepn_e,-0.0
CH4t2pp,0.0
INOSTO,1000.0
Ftex,0.0
CYSItex,0.0
SERtpp,0.0
DHGLYH,0.0
EX_sq_e,0.0
URATEtpp,0.0
CS1tex,0.0
ADOCBLtonex,0.0
MEPNtex,0.0
EX_4abzglu_e,0.0
4ABZGLUtex,0.0
2HPTCOAT,0.0
EX_metglcur_e,0.0
VALt2rpp,0.0
VALt3pp,0.0
MN2tipp,0.0
PSURItpp,0.0
METGLCURt2pp,0.0
METGLCURtex,0.0
FMNt,0.0
AI2tex,0.0
CUt2pp,0.0
EX_2dglc_e,-0.0
THRt2rpp,0.0
SERt2rpp,0.0
URAtpp,0.0
ASPtpp,0.0
FUMt1pp,0.0
SUCCt1pp,1000.0
BIOMASS_Ec_iML1515_core_75p37M,0.5375499160873898
BIOMASS_Ec_iML1515_WT_75p37M,0.0
EX_acgam_e_REV,0.0
EX_cellb_e_REV,0.0
EX_chol_e_REV,0.0
EX_pi_e_REV,1000.0
EX_h_e_REV,0.0
EX_ade_e_REV,0.0
EX_4abut_e_REV,0.0
EX_ac_e_REV,0.0
EX_akg_e_REV,0.0
EX_ala__L_e_REV,0.0
